HPO term ID	HPO name	HPO child (is_a)	icd10	icd10 string	OMIM disease ID(s)
370	Abnormality of the middle ear	370	H65.491	Other chronic nonsuppurative otitis media, right ear	188400
370	Abnormality of the middle ear	370	H65.492	Other chronic nonsuppurative otitis media, left ear	188400
370	Abnormality of the middle ear	370	H65.493	Other chronic nonsuppurative otitis media, bilateral	188400
370	Abnormality of the middle ear	370	H65.499	Other chronic nonsuppurative otitis media, unspecified ear	188400
518	Cataract	518	H26.9	Unspecified cataract	154700,261600
1977	Abnormal thrombosis	1907	I80.2	Phlebitis and thrombophlebitis of other and unspecified deep vessels of lower extremities	263300
1977	Abnormal thrombosis	1907	I80.20	Phlebitis and thrombophlebitis of unspecified deep vessels of lower extremities	263300
1977	Abnormal thrombosis	1907	I80.201	Phlebitis and thrombophlebitis of unspecified deep vessels of right lower extremity	263300
1977	Abnormal thrombosis	1907	I80.202	Phlebitis and thrombophlebitis of unspecified deep vessels of left lower extremity	263300
1977	Abnormal thrombosis	1907	I80.203	Phlebitis and thrombophlebitis of unspecified deep vessels of lower extremities, bilateral	263300
1977	Abnormal thrombosis	1907	I80.209	Phlebitis and thrombophlebitis of unspecified deep vessels of unspecified lower extremity	263300
1977	Abnormal thrombosis	1907	I80.21	Phlebitis and thrombophlebitis of iliac vein	263300
1977	Abnormal thrombosis	1907	I80.211	Phlebitis and thrombophlebitis of right iliac vein	263300
1977	Abnormal thrombosis	1907	I80.212	Phlebitis and thrombophlebitis of left iliac vein	263300
1977	Abnormal thrombosis	1907	I80.213	Phlebitis and thrombophlebitis of iliac vein, bilateral	263300
1977	Abnormal thrombosis	1907	I80.219	Phlebitis and thrombophlebitis of unspecified iliac vein	263300
1977	Abnormal thrombosis	1907	I80.22	Phlebitis and thrombophlebitis of popliteal vein	263300
1977	Abnormal thrombosis	1907	I80.221	Phlebitis and thrombophlebitis of right popliteal vein	263300
1977	Abnormal thrombosis	1907	I80.222	Phlebitis and thrombophlebitis of left popliteal vein	263300
1977	Abnormal thrombosis	1907	I80.223	Phlebitis and thrombophlebitis of popliteal vein, bilateral	263300
1977	Abnormal thrombosis	1907	I80.229	Phlebitis and thrombophlebitis of unspecified popliteal vein	263300
1977	Abnormal thrombosis	1907	I80.23	Phlebitis and thrombophlebitis of tibial vein	263300
1977	Abnormal thrombosis	1907	I80.231	Phlebitis and thrombophlebitis of right tibial vein	263300
1977	Abnormal thrombosis	1907	I80.232	Phlebitis and thrombophlebitis of left tibial vein	263300
1977	Abnormal thrombosis	1907	I80.233	Phlebitis and thrombophlebitis of tibial vein, bilateral	263300
1977	Abnormal thrombosis	1907	I80.239	Phlebitis and thrombophlebitis of unspecified tibial vein	263300
1977	Abnormal thrombosis	1907	I80.29	Phlebitis and thrombophlebitis of other deep vessels of lower extremities	263300
1977	Abnormal thrombosis	1907	I80.291	Phlebitis and thrombophlebitis of other deep vessels of right lower extremity	263300
1977	Abnormal thrombosis	1907	I80.292	Phlebitis and thrombophlebitis of other deep vessels of left lower extremity	263300
1977	Abnormal thrombosis	1907	I80.293	Phlebitis and thrombophlebitis of other deep vessels of lower extremity, bilateral	263300
1977	Abnormal thrombosis	1907	I80.299	Phlebitis and thrombophlebitis of other deep vessels of unspecified lower extremity	263300
370	Abnormality of the middle ear	370	H65	Nonsuppurative otitis media	188400
370	Abnormality of the middle ear	370	H65.1	Other acute nonsuppurative otitis media	188400
370	Abnormality of the middle ear	370	H65.11	Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous)	188400
370	Abnormality of the middle ear	370	H65.111	Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), right ear	188400
370	Abnormality of the middle ear	370	H65.112	Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), left ear	188400
370	Abnormality of the middle ear	370	H65.113	Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), bilateral	188400
370	Abnormality of the middle ear	370	H65.114	Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), recurrent, right ear	188400
370	Abnormality of the middle ear	370	H65.115	Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), recurrent, left ear	188400
370	Abnormality of the middle ear	370	H65.116	Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), recurrent, bilateral	188400
370	Abnormality of the middle ear	370	H65.117	Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), recurrent, unspecified ear	188400
370	Abnormality of the middle ear	370	H65.119	Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), unspecified ear	188400
370	Abnormality of the middle ear	370	H65.19	Other acute nonsuppurative otitis media	188400
370	Abnormality of the middle ear	370	H65.191	Other acute nonsuppurative otitis media, right ear	188400
370	Abnormality of the middle ear	370	H65.192	Other acute nonsuppurative otitis media, left ear	188400
370	Abnormality of the middle ear	370	H65.193	Other acute nonsuppurative otitis media, bilateral	188400
370	Abnormality of the middle ear	370	H65.194	Other acute nonsuppurative otitis media, recurrent, right ear	188400
370	Abnormality of the middle ear	370	H65.195	Other acute nonsuppurative otitis media, recurrent, left ear	188400
370	Abnormality of the middle ear	370	H65.196	Other acute nonsuppurative otitis media, recurrent, bilateral	188400
370	Abnormality of the middle ear	370	H65.197	Other acute nonsuppurative otitis media recurrent, unspecified ear	188400
370	Abnormality of the middle ear	370	H65.199	Other acute nonsuppurative otitis media, unspecified ear	188400
370	Abnormality of the middle ear	370	H65.4	Other chronic nonsuppurative otitis media	188400
370	Abnormality of the middle ear	370	H65.41	Chronic allergic otitis media	188400
370	Abnormality of the middle ear	370	H65.411	Chronic allergic otitis media, right ear	188400
370	Abnormality of the middle ear	370	H65.412	Chronic allergic otitis media, left ear	188400
370	Abnormality of the middle ear	370	H65.413	Chronic allergic otitis media, bilateral	188400
370	Abnormality of the middle ear	370	H65.419	Chronic allergic otitis media, unspecified ear	188400
370	Abnormality of the middle ear	370	H67	Otitis media in diseases classified elsewhere	188400
370	Abnormality of the middle ear	370	H67.1	Otitis media in diseases classified elsewhere, right ear	188400
370	Abnormality of the middle ear	370	H67.2	Otitis media in diseases classified elsewhere, left ear	188400
370	Abnormality of the middle ear	370	H67.3	Otitis media in diseases classified elsewhere, bilateral	188400
370	Abnormality of the middle ear	370	H67.9	Otitis media in diseases classified elsewhere, unspecified ear	188400
518	Cataract	518	H26	Other cataract	154700,261600
518	Cataract	518	H26.0	Infantile and juvenile cataract	154700,261600
518	Cataract	518	H26.00	Unspecified infantile and juvenile cataract	154700,261600
518	Cataract	518	H26.001	Unspecified infantile and juvenile cataract, right eye	154700,261600
518	Cataract	518	H26.002	Unspecified infantile and juvenile cataract, left eye	154700,261600
518	Cataract	518	H26.003	Unspecified infantile and juvenile cataract, bilateral	154700,261600
518	Cataract	518	H26.009	Unspecified infantile and juvenile cataract, unspecified eye	154700,261600
518	Cataract	518	H26.01	Infantile and juvenile cortical, lamellar, or zonular cataract	154700,261600
518	Cataract	518	H26.011	Infantile and juvenile cortical, lamellar, or zonular cataract, right eye	154700,261600
518	Cataract	518	H26.012	Infantile and juvenile cortical, lamellar, or zonular cataract, left eye	154700,261600
518	Cataract	518	H26.013	Infantile and juvenile cortical, lamellar, or zonular cataract, bilateral	261600,154700
518	Cataract	518	H26.019	Infantile and juvenile cortical, lamellar, or zonular cataract, unspecified eye	261600,154700
518	Cataract	518	H26.03	Infantile and juvenile nuclear cataract	261600,154700
518	Cataract	518	H26.031	Infantile and juvenile nuclear cataract, right eye	261600,154700
518	Cataract	518	H26.032	Infantile and juvenile nuclear cataract, left eye	261600,154700
518	Cataract	518	H26.033	Infantile and juvenile nuclear cataract, bilateral	261600,154700
518	Cataract	518	H26.039	Infantile and juvenile nuclear cataract, unspecified eye	154700,261600
518	Cataract	518	H26.04	Anterior subcapsular polar infantile and juvenile cataract	154700,261600
518	Cataract	518	H26.041	Anterior subcapsular polar infantile and juvenile cataract, right eye	154700,261600
518	Cataract	518	H26.042	Anterior subcapsular polar infantile and juvenile cataract, left eye	154700,261600
518	Cataract	518	H26.043	Anterior subcapsular polar infantile and juvenile cataract, bilateral	154700,261600
518	Cataract	518	H26.049	Anterior subcapsular polar infantile and juvenile cataract, unspecified eye	154700,261600
518	Cataract	518	H26.05	Posterior subcapsular polar infantile and juvenile cataract	154700,261600
518	Cataract	518	H26.051	Posterior subcapsular polar infantile and juvenile cataract, right eye	154700,261600
518	Cataract	518	H26.052	Posterior subcapsular polar infantile and juvenile cataract, left eye	154700,261600
518	Cataract	518	H26.053	Posterior subcapsular polar infantile and juvenile cataract, bilateral	154700,261600
518	Cataract	518	H26.059	Posterior subcapsular polar infantile and juvenile cataract, unspecified eye	261600,154700
518	Cataract	518	H26.06	Combined forms of infantile and juvenile cataract	261600,154700
518	Cataract	518	H26.061	Combined forms of infantile and juvenile cataract, right eye	261600,154700
518	Cataract	518	H26.062	Combined forms of infantile and juvenile cataract, left eye	261600,154700
518	Cataract	518	H26.063	Combined forms of infantile and juvenile cataract, bilateral	261600,154700
518	Cataract	518	H26.069	Combined forms of infantile and juvenile cataract, unspecified eye	261600,154700
518	Cataract	518	H26.09	Other infantile and juvenile cataract	154700,261600
518	Cataract	518	H26.1	Traumatic cataract	154700,261600
518	Cataract	518	H26.10	Unspecified traumatic cataract	154700,261600
518	Cataract	518	H26.101	Unspecified traumatic cataract, right eye	154700,261600
518	Cataract	518	H26.102	Unspecified traumatic cataract, left eye	154700,261600
518	Cataract	518	H26.103	Unspecified traumatic cataract, bilateral	154700,261600
518	Cataract	518	H26.109	Unspecified traumatic cataract, unspecified eye	154700,261600
518	Cataract	518	H26.11	Localized traumatic opacities	154700,261600
518	Cataract	518	H26.111	Localized traumatic opacities, right eye	154700,261600
518	Cataract	518	H26.112	Localized traumatic opacities, left eye	154700,261600
518	Cataract	518	H26.113	Localized traumatic opacities, bilateral	261600,154700
518	Cataract	518	H26.119	Localized traumatic opacities, unspecified eye	261600,154700
518	Cataract	518	H26.12	Partially resolved traumatic cataract	261600,154700
518	Cataract	518	H26.121	Partially resolved traumatic cataract, right eye	261600,154700
518	Cataract	518	H26.122	Partially resolved traumatic cataract, left eye	261600,154700
518	Cataract	518	H26.123	Partially resolved traumatic cataract, bilateral	261600,154700
518	Cataract	518	H26.129	Partially resolved traumatic cataract, unspecified eye	261600,154700
518	Cataract	518	H26.13	Total traumatic cataract	154700,261600
518	Cataract	518	H26.131	Total traumatic cataract, right eye	154700,261600
518	Cataract	518	H26.132	Total traumatic cataract, left eye	154700,261600
518	Cataract	518	H26.133	Total traumatic cataract, bilateral	154700,261600
518	Cataract	518	H26.139	Total traumatic cataract, unspecified eye	154700,261600
518	Cataract	518	H26.2	Complicated cataract	154700,261600
518	Cataract	518	H26.20	Unspecified complicated cataract	154700,261600
518	Cataract	518	H26.21	Cataract with neovascularization	154700,261600
518	Cataract	518	H26.211	Cataract with neovascularization, right eye	154700,261600
518	Cataract	518	H26.212	Cataract with neovascularization, left eye	261600,154700
518	Cataract	518	H26.213	Cataract with neovascularization, bilateral	261600,154700
518	Cataract	518	H26.219	Cataract with neovascularization, unspecified eye	261600,154700
518	Cataract	518	H26.22	Cataract secondary to ocular disorders (degenerative) (inflammatory)	261600,154700
518	Cataract	518	H26.221	Cataract secondary to ocular disorders (degenerative) (inflammatory), right eye	261600,154700
518	Cataract	518	H26.222	Cataract secondary to ocular disorders (degenerative) (inflammatory), left eye	261600,154700
518	Cataract	518	H26.223	Cataract secondary to ocular disorders (degenerative) (inflammatory), bilateral	261600,154700
518	Cataract	518	H26.229	Cataract secondary to ocular disorders (degenerative) (inflammatory), unspecified eye	154700,261600
518	Cataract	518	H26.23	Glaucomatous flecks (subcapsular)	154700,261600
518	Cataract	518	H26.231	Glaucomatous flecks (subcapsular), right eye	154700,261600
518	Cataract	518	H26.232	Glaucomatous flecks (subcapsular), left eye	154700,261600
518	Cataract	518	H26.233	Glaucomatous flecks (subcapsular), bilateral	154700,261600
518	Cataract	518	H26.239	Glaucomatous flecks (subcapsular), unspecified eye	154700,261600
518	Cataract	518	H26.3	Drug-induced cataract	154700,261600
518	Cataract	518	H26.30	Drug-induced cataract, unspecified eye	154700,261600
518	Cataract	518	H26.31	Drug-induced cataract, right eye	154700,261600
518	Cataract	518	H26.32	Drug-induced cataract, left eye	261600,154700
518	Cataract	518	H26.33	Drug-induced cataract, bilateral	261600,154700
518	Cataract	518	H26.4	Secondary cataract	261600,154700
518	Cataract	518	H26.40	Unspecified secondary cataract	261600,154700
518	Cataract	518	H26.41	Soemmering's ring	261600,154700
518	Cataract	518	H26.411	Soemmering's ring, right eye	261600,154700
518	Cataract	518	H26.412	Soemmering's ring, left eye	261600,154700
518	Cataract	518	H26.413	Soemmering's ring, bilateral	154700,261600
518	Cataract	518	H26.419	Soemmering's ring, unspecified eye	154700,261600
518	Cataract	518	H26.49	Other secondary cataract	154700,261600
518	Cataract	518	H26.491	Other secondary cataract, right eye	154700,261600
518	Cataract	518	H26.492	Other secondary cataract, left eye	154700,261600
518	Cataract	518	H26.493	Other secondary cataract, bilateral	154700,261600
518	Cataract	518	H26.499	Other secondary cataract, unspecified eye	154700,261600
518	Cataract	518	H26.8	Other specified cataract	154700,261600
518	Cataract	518	H28	Cataract in diseases classified elsewhere	261600,154700
1903	Anemia	1891	D50	Iron deficiency anemia	187300
1903	Anemia	1891	D50.0	Iron deficiency anemia secondary to blood loss (chronic)	187300
1903	Anemia	1891	D50.1	Sideropenic dysphagia	187300
1903	Anemia	1891	D50.9	Iron deficiency anemia, unspecified	187300
11675	Arrhythmia	1649	I49.5	Sick sinus syndrome	235200,310200
1083	Ectopia lentis	1083	H27.11	Subluxation of lens	154700
1083	Ectopia lentis	1083	H27.111	Subluxation of lens, right eye	154700
1083	Ectopia lentis	1083	H27.112	Subluxation of lens, left eye	154700
1083	Ectopia lentis	1083	H27.113	Subluxation of lens, bilateral	154700
1083	Ectopia lentis	1083	H27.119	Subluxation of lens, unspecified eye	154700
1638	Cardiomyopathy	1638	I42.1	Obstructive hypertrophic cardiomyopathy	235200,310200
238	Hydrocephalus	238	G91.2	(Idiopathic) normal pressure hydrocephalus	162200,100800
1903	Anemia	1903	D64.3	Other sideroblastic anemias	187300
1977	Abnormal thrombosis	1907	I82.0	Budd-Chiari syndrome	263300
2094	Dyspnea	2094	R06.01	Orthopnea	187300,613490
2315	Headache	2076	G43.1	Migraine with aura	101000
2315	Headache	2076	G43.10	Migraine with aura, not intractable	101000
2315	Headache	2076	G43.101	Migraine with aura, not intractable, with status migrainosus	101000
2315	Headache	2076	G43.109	Migraine with aura, not intractable, without status migrainosus	101000
2315	Headache	2076	G43.11	Migraine with aura, intractable	101000
2315	Headache	2076	G43.111	Migraine with aura, intractable, with status migrainosus	101000
2315	Headache	2076	G43.119	Migraine with aura, intractable, without status migrainosus	101000
11675	Arrhythmia	1649	I47	Paroxysmal tachycardia	235200,310200
11675	Arrhythmia	1649	I47.9	Paroxysmal tachycardia, unspecified	235200,310200
11675	Arrhythmia	4308	I49.02	Ventricular flutter	235200,310200
565	Esotropia	565	H50.05	Alternating esotropia	154700
819	Diabetes mellitus	819	E10.1	Type 1 diabetes mellitus with ketoacidosis	235200
819	Diabetes mellitus	819	E10.10	Type 1 diabetes mellitus with ketoacidosis without coma	235200
819	Diabetes mellitus	819	E10.11	Type 1 diabetes mellitus with ketoacidosis with coma	235200
1083	Ectopia lentis	1083	H27.1	Dislocation of lens	154700
1083	Ectopia lentis	1083	H27.10	Unspecified dislocation of lens	154700
1083	Ectopia lentis	1083	H27.12	Anterior dislocation of lens	154700
1083	Ectopia lentis	1083	H27.121	Anterior dislocation of lens, right eye	154700
1083	Ectopia lentis	1083	H27.122	Anterior dislocation of lens, left eye	154700
1083	Ectopia lentis	1083	H27.123	Anterior dislocation of lens, bilateral	154700
1083	Ectopia lentis	1083	H27.129	Anterior dislocation of lens, unspecified eye	154700
1083	Ectopia lentis	1083	H27.13	Posterior dislocation of lens	154700
1083	Ectopia lentis	1083	H27.131	Posterior dislocation of lens, right eye	154700
1083	Ectopia lentis	1083	H27.132	Posterior dislocation of lens, left eye	154700
1083	Ectopia lentis	1083	H27.133	Posterior dislocation of lens, bilateral	154700
1083	Ectopia lentis	1083	H27.139	Posterior dislocation of lens, unspecified eye	154700
1083	Ectopia lentis	1083	Q12.1	Congenital displaced lens	154700
1371	Flexion contracture	1371	Q74.3	Arthrogryposis multiplex congenita	154700,310200
1638	Cardiomyopathy	1638	I42.2	Other hypertrophic cardiomyopathy	235200,310200
141	Amenorrhea	141	N91.0	Primary amenorrhea	235200
565	Esotropia	565	H50.06	Alternating esotropia with A pattern	154700
565	Esotropia	565	H50.07	Alternating esotropia with V pattern	154700
565	Esotropia	565	H50.08	Alternating esotropia with other noncomitancies	154700
1251	Ataxia	1251	R27.0	Ataxia, unspecified	101000
1977	Abnormal thrombosis	1907	I80.0	Phlebitis and thrombophlebitis of superficial vessels of lower extremities	263300
1977	Abnormal thrombosis	1907	I80.00	Phlebitis and thrombophlebitis of superficial vessels of unspecified lower extremity	263300
1977	Abnormal thrombosis	1907	I80.01	Phlebitis and thrombophlebitis of superficial vessels of right lower extremity	263300
1977	Abnormal thrombosis	1907	I80.02	Phlebitis and thrombophlebitis of superficial vessels of left lower extremity	263300
1977	Abnormal thrombosis	1907	I80.03	Phlebitis and thrombophlebitis of superficial vessels of lower extremities, bilateral	263300
1977	Abnormal thrombosis	1907	I80.1	Phlebitis and thrombophlebitis of femoral vein	263300
1977	Abnormal thrombosis	1907	I80.10	Phlebitis and thrombophlebitis of unspecified femoral vein	263300
1977	Abnormal thrombosis	1907	I80.11	Phlebitis and thrombophlebitis of right femoral vein	263300
1977	Abnormal thrombosis	1907	I80.12	Phlebitis and thrombophlebitis of left femoral vein	263300
1977	Abnormal thrombosis	1907	I80.13	Phlebitis and thrombophlebitis of femoral vein, bilateral	263300
2094	Dyspnea	2094	R06.0	Dyspnea	187300,613490
2094	Dyspnea	2094	R06.03	Acute respiratory distress	187300,613490
11675	Arrhythmia	4308	I49.0	Ventricular fibrillation and flutter	235200,310200
27	Azoospermia	27	N46.0	Azoospermia	235200
27	Azoospermia	27	N46.01	Organic azoospermia	235200
27	Azoospermia	27	N46.02	Azoospermia due to extratesticular causes	235200
27	Azoospermia	27	N46.021	Azoospermia due to drug therapy	235200
27	Azoospermia	27	N46.022	Azoospermia due to infection	235200
27	Azoospermia	27	N46.023	Azoospermia due to obstruction of efferent ducts	235200
27	Azoospermia	27	N46.024	Azoospermia due to radiation	235200
27	Azoospermia	27	N46.025	Azoospermia due to systemic disease	235200
27	Azoospermia	27	N46.029	Azoospermia due to other extratesticular causes	235200
141	Amenorrhea	141	N91.2	Amenorrhea, unspecified	235200
1903	Anemia	1903	D64.0	Hereditary sideroblastic anemia	187300
1977	Abnormal thrombosis	1907	I80	Phlebitis and thrombophlebitis	263300
1977	Abnormal thrombosis	1907	I80.3	Phlebitis and thrombophlebitis of lower extremities, unspecified	263300
1977	Abnormal thrombosis	1907	I80.8	Phlebitis and thrombophlebitis of other sites	263300
1977	Abnormal thrombosis	1907	I80.9	Phlebitis and thrombophlebitis of unspecified site	263300
565	Esotropia	565	H50.32	Intermittent alternating esotropia	154700
1250	Seizures	1250	G40.3	Generalized idiopathic epilepsy and epileptic syndromes	187300,300624,188400,191100,261600,101000,162200
1250	Seizures	1250	G40.30	Generalized idiopathic epilepsy and epileptic syndromes, not intractable	300624,188400,191100,261600,101000,162200,187300
1250	Seizures	1250	G40.301	Generalized idiopathic epilepsy and epileptic syndromes, not intractable, with status epilepticus	191100,261600,101000,162200,187300,300624,188400
1250	Seizures	1250	G40.309	Generalized idiopathic epilepsy and epileptic syndromes, not intractable, without status epilepticus	187300,300624,188400,191100,261600,101000,162200
1250	Seizures	1250	G40.31	Generalized idiopathic epilepsy and epileptic syndromes, intractable	187300,300624,188400,191100,261600,101000,162200
1250	Seizures	1250	G40.311	Generalized idiopathic epilepsy and epileptic syndromes, intractable, with status epilepticus	187300,300624,191100,188400,261600,101000,162200
1250	Seizures	1250	G40.319	Generalized idiopathic epilepsy and epileptic syndromes, intractable, without status epilepticus	187300,191100,300624,261600,188400,101000,162200
1977	Abnormal thrombosis	1907	I82.1	Thrombophlebitis migrans	263300
9830	Peripheral neuropathy	763	G90.0	Idiopathic peripheral autonomic neuropathy	101000
9830	Peripheral neuropathy	763	G90.09	Other idiopathic peripheral autonomic neuropathy	101000
565	Esotropia	565	H50.31	Intermittent monocular esotropia	154700
565	Esotropia	565	H50.311	Intermittent monocular esotropia, right eye	154700
565	Esotropia	565	H50.312	Intermittent monocular esotropia, left eye	154700
11675	Arrhythmia	1662	R00.1	Bradycardia, unspecified	235200,310200
1250	Seizures	1250	G40.4	Other generalized epilepsy and epileptic syndromes	191100,187300,261600,300624,101000,188400,162200
1250	Seizures	1250	G40.40	Other generalized epilepsy and epileptic syndromes, not intractable	191100,261600,187300,101000,300624,162200,188400
1250	Seizures	1250	G40.401	Other generalized epilepsy and epileptic syndromes, not intractable, with status epilepticus	191100,261600,187300,162200,101000,300624,188400
1250	Seizures	1250	G40.409	Other generalized epilepsy and epileptic syndromes, not intractable, without status epilepticus	191100,261600,101000,187300,162200,300624,188400
